#;Name;Team;G;PA;HR;R;RBI;SB;BB%;K%;ISO;BABIP;AVG;OBP;SLG;wOBA;wRC+;BsR;Off;Def;WAR
154;Andrew Vaughn;CHW;27;118;3;12;18;0;11.0%;18.6%;.176;.299;.255;.356;.431;.346;120;-0.9;1.9;-2.8;0.3
155;Christian Vázquez;MIN;19;69;0;9;6;0;11.6%;27.5%;.049;.357;.246;.333;.295;.288;82;-0.8;-2.3;3.0;0.3
156;Nicky Lopez;KCR;24;67;0;5;7;2;11.9%;17.9%;.091;.256;.200;.323;.291;.285;74;0.5;-1.6;2.4;0.3
157;Yasmani Grandal;CHW;23;85;2;7;8;0;9.4%;23.5%;.187;.302;.240;.329;.427;.330;109;-0.8;0.1;0.0;0.3
158;Ryan McMahon;COL;26;103;4;12;13;0;10.7%;35.9%;.209;.353;.242;.320;.451;.331;92;-0.7;-1.7;1.2;0.3
159;Henry Ramos;CIN;6;26;0;6;3;0;15.4%;7.7%;.091;.450;.409;.500;.500;.439;174;-0.1;2.3;-0.3;0.3
160;Jesús Aguilar;OAK;22;78;5;7;9;0;5.1%;24.4%;.239;.313;.282;.325;.521;.357;133;-1.1;2.0;-1.9;0.3
161;Logan O'Hoppe;LAA;15;56;4;5;12;0;7.1%;26.8%;.280;.313;.280;.339;.560;.376;140;-0.3;2.3;-1.5;0.3
162;Zack Short;DET;3;7;1;2;1;0;14.3%;14.3%;.500;.750;.667;.714;1.167;.764;410;-0.1;2.5;-0.1;0.3
163;Emmanuel Rivera;ARI;5;16;0;3;3;0;0.0%;12.5%;.125;.571;.500;.500;.625;.486;211;-0.1;2.1;0.0;0.3
164;Daulton Varsho;TOR;26;107;2;12;4;4;11.2%;24.3%;.097;.246;.194;.299;.290;.271;70;1.1;-2.7;1.7;0.3
165;Adam Haseley;CHW;7;13;0;4;2;0;15.4%;23.1%;.091;.750;.545;.615;.636;.542;256;0.0;2.4;-0.2;0.3
166;CJ Abrams;WSN;25;95;2;9;13;3;6.3%;22.1%;.165;.290;.235;.309;.400;.309;92;0.4;-0.5;-0.1;0.3
167;Jon Berti;MIA;25;87;2;12;8;4;8.0%;17.2%;.128;.274;.244;.302;.372;.295;82;0.7;-1.3;0.9;0.3
168;Brett Baty;NYM;10;33;1;2;3;0;9.1%;30.3%;.133;.474;.333;.394;.467;.376;142;-0.1;1.6;-0.1;0.3
169;Zach Neto;LAA;16;60;0;4;4;1;1.7%;16.7%;.077;.310;.250;.350;.327;.312;95;0.1;-0.3;0.8;0.3
170;Andrew McCutchen;PIT;25;103;5;15;13;4;10.7%;17.5%;.227;.250;.250;.330;.477;.338;111;-0.1;1.2;-2.2;0.3
171;Pavin Smith;ARI;16;52;2;9;11;0;17.3%;21.2%;.209;.333;.279;.404;.488;.388;145;-0.1;2.8;-2.1;0.2
172;Yuli Gurriel;MIA;13;50;2;6;5;1;6.0%;14.0%;.152;.324;.304;.360;.457;.355;123;0.3;1.7;-0.9;0.2
173;Ryan Jeffers;MIN;12;42;1;6;3;0;9.5%;33.3%;.189;.409;.270;.357;.459;.354;128;-0.2;1.2;-0.2;0.2
174;Masataka Yoshida;BOS;22;97;4;14;15;2;12.4%;11.3%;.193;.261;.265;.361;.458;.355;121;-0.2;2.2;-3.1;0.2
175;Giancarlo Stanton;NYY;12;50;4;7;11;0;4.0%;20.0%;.313;.265;.271;.300;.583;.369;139;-0.3;2.0;-1.3;0.2
176;Stone Garrett;WSN;11;43;1;8;5;0;7.0%;27.9%;.154;.423;.308;.357;.462;.354;122;0.1;1.2;-0.3;0.2
177;J.T. Realmuto;PHI;24;97;3;9;10;4;3.1%;25.8%;.165;.323;.264;.289;.429;.304;89;0.1;-1.2;0.3;0.2
178;Trea Turner;PHI;28;125;2;15;6;4;4.8%;24.8%;.101;.337;.261;.296;.361;.284;75;1.4;-2.5;0.6;0.2
179;Carlos Pérez;OAK;18;43;1;5;5;0;4.7%;23.3%;.128;.414;.333;.372;.462;.359;134;-0.3;1.5;-0.7;0.2
180;Jace Peterson;OAK;24;85;1;9;8;2;12.9%;24.7%;.097;.275;.208;.318;.306;.284;83;0.5;-1.3;0.6;0.2
181;Christian Walker;ARI;25;104;4;11;18;1;5.8%;19.2%;.191;.260;.245;.288;.436;.306;90;0.1;-1.2;-0.1;0.2
182;Joey Bart;SFG;12;41;0;4;0;0;2.4%;29.3%;.054;.400;.270;.341;.324;.303;92;-0.1;-0.5;1.2;0.2
183;Mitch Haniger;SFG;5;19;2;5;5;0;10.5%;10.5%;.438;.231;.313;.368;.750;.443;186;-0.1;1.9;-0.5;0.2
184;Brandon Crawford;SFG;21;75;4;6;10;3;9.3%;26.7%;.191;.182;.176;.253;.368;.271;70;0.5;-2.3;1.8;0.2
185;Wilmer Flores;SFG;21;77;4;11;9;0;5.2%;15.6%;.205;.281;.274;.312;.479;.338;115;-0.5;0.9;-1.5;0.2
186;Yoán Moncada;CHW;7;31;2;4;4;0;3.2%;22.6%;.300;.286;.267;.290;.567;.358;128;-0.1;1.0;0.0;0.2
187;Corey Julks;HOU;20;72;2;11;8;2;1.4%;26.4%;.143;.380;.300;.306;.443;.318;103;-0.6;-0.3;-0.1;0.2
188;Reese McGuire;BOS;16;46;0;4;6;0;4.3%;28.3%;.093;.433;.302;.333;.395;.318;95;-0.3;-0.6;1.0;0.2
189;Joc Pederson;SFG;15;57;2;6;10;0;12.3%;22.8%;.224;.314;.265;.351;.490;.351;124;0.0;1.7;-1.6;0.2
190;Trevor Larnach;MIN;27;108;3;11;17;0;14.8%;30.6%;.154;.321;.231;.343;.385;.322;106;0.2;0.9;-2.6;0.2
191;Fernando Tatis Jr.;SDP;9;43;2;5;6;0;4.7%;20.9%;.195;.300;.268;.302;.463;.327;110;-0.5;0.0;0.5;0.2
192;Austin Hedges;PIT;14;44;0;4;4;1;6.8%;20.5%;.026;.207;.158;.238;.184;.202;19;0.1;-4.4;4.8;0.2
193;Nick Madrigal;CHC;20;48;0;6;4;2;4.2%;6.3%;.089;.310;.289;.333;.378;.312;96;-0.8;-1.0;1.3;0.2
194;Garrett Hampson;MIA;18;49;1;8;5;2;4.1%;28.6%;.200;.367;.267;.313;.467;.333;108;0.5;1.0;-0.7;0.2
195;Nick Ahmed;ARI;16;51;1;5;8;3;2.0%;13.7%;.100;.286;.260;.275;.360;.275;69;0.6;-1.4;1.5;0.2
196;Luis Robert Jr.;CHW;26;105;5;13;13;1;3.8%;26.7%;.212;.227;.202;.248;.414;.282;76;-0.2;-3.2;1.5;0.2
197;Jesús Sánchez;MIA;21;52;1;5;4;3;13.5%;34.6%;.136;.360;.227;.346;.364;.320;99;0.5;0.5;-0.4;0.2
198;Austin Slater;SFG;3;9;0;0;1;1;11.1%;11.1%;.125;.571;.500;.556;.625;.510;231;0.1;1.6;-0.1;0.2
199;Teoscar Hernández;SEA;26;109;7;12;16;1;1.8%;30.3%;.235;.254;.225;.266;.461;.308;99;-1.0;-1.2;-0.7;0.2
200;Gavin Sheets;CHW;17;50;2;5;8;0;12.0%;12.0%;.140;.306;.302;.380;.442;.358;128;-0.2;1.5;-1.4;0.2
201;Mitch Garver;TEX;6;22;2;4;6;0;13.6%;31.8%;.316;.300;.263;.364;.579;.397;154;-0.1;1.3;-0.3;0.2
202;Ezequiel Duran;TEX;21;66;2;6;12;2;1.5%;27.3%;.143;.395;.302;.333;.444;.337;112;-0.8;0.1;-0.7;0.2
203;Owen Miller;MIL;17;47;0;6;3;3;6.4%;12.8%;.068;.316;.273;.319;.341;.293;81;0.5;-0.6;0.7;0.2
204;Lourdes Gurriel Jr.;ARI;24;97;1;12;13;1;4.1%;15.5%;.132;.316;.275;.309;.407;.308;92;0.1;-1.0;-0.7;0.2
205;Tucupita Marcano;PIT;15;39;0;5;2;1;7.7%;7.7%;.121;.300;.273;.368;.394;.339;111;0.2;0.7;-0.4;0.2
206;Nick Senzel;CIN;16;61;2;13;11;2;11.5%;18.0%;.148;.317;.278;.361;.426;.345;112;0.5;1.4;-1.9;0.2
207;Ryan McKenna;BAL;19;32;1;5;6;1;3.1%;31.3%;.207;.368;.276;.313;.483;.334;115;0.1;0.7;-0.3;0.1
208;Jose Siri;TBR;9;35;1;5;8;1;5.7%;31.4%;.188;.286;.219;.257;.406;.279;79;0.3;-0.6;0.8;0.1
209;Victor Robles;WSN;24;90;0;11;8;6;6.7%;14.4%;.078;.328;.273;.356;.351;.319;99;1.3;1.2;-2.7;0.1
210;Michael Conforto;SFG;22;87;4;15;10;1;13.8%;32.2%;.176;.262;.203;.322;.378;.312;98;-0.2;-0.4;-1.1;0.1
211;Ramón Urías;BAL;22;79;0;11;8;0;8.9%;26.6%;.087;.375;.261;.354;.348;.318;104;-0.4;-0.1;-1.2;0.1
212;Christian Yelich;MIL;26;113;3;22;11;5;9.7%;29.2%;.119;.308;.228;.310;.347;.293;81;1.5;-1.1;-1.4;0.1
213;Matt Thaiss;LAA;13;35;1;6;4;0;11.4%;28.6%;.172;.278;.207;.343;.379;.325;104;-0.3;-0.1;0.2;0.1
214;Kerry Carpenter;DET;20;75;4;8;8;0;6.7%;29.3%;.246;.256;.217;.280;.464;.316;100;-0.1;-0.1;-1.2;0.1
215;Randal Grichuk;COL;2;8;0;2;0;0;0.0%;25.0%;.250;.667;.500;.500;.750;.532;227;0.0;1.2;-0.2;0.1
216;Trayce Thompson;LAD;20;53;4;8;11;0;13.2%;47.2%;.267;.188;.156;.283;.422;.307;93;0.1;-0.4;-0.2;0.1
217;Mark Canha;NYM;23;92;2;12;9;2;9.8%;18.5%;.152;.270;.241;.315;.392;.306;95;0.2;-0.4;-1.5;0.1
218;Daniel Vogelbach;NYM;18;57;1;4;9;0;19.3%;24.6%;.087;.355;.261;.404;.348;.346;122;-0.6;0.9;-1.6;0.1
219;Carlos Correa;MIN;24;101;3;8;10;0;10.9%;22.8%;.157;.234;.202;.287;.360;.284;79;-0.5;-3.0;0.8;0.1
220;Kyle Schwarber;PHI;28;118;6;17;12;0;15.3%;27.1%;.224;.250;.214;.347;.439;.345;116;-0.6;1.7;-4.5;0.1
221;Anthony Rendon;LAA;19;83;0;12;12;2;14.5%;10.8%;.045;.283;.258;.373;.303;.312;95;0.2;-0.2;-1.5;0.1
222;Oneil Cruz;PIT;8;35;0;5;2;3;14.3%;22.9%;.033;.318;.233;.343;.267;.286;76;0.8;-0.3;0.2;0.1
223;Seby Zavala;CHW;13;35;1;4;2;1;5.7%;28.6%;.121;.227;.182;.229;.303;.233;42;0.0;-2.5;2.3;0.1
224;Jake Cave;PHI;19;66;1;3;9;3;9.1%;21.2%;.119;.289;.237;.303;.356;.289;79;0.9;-0.9;-0.4;0.1
225;Jordan Walker;STL;19;73;2;8;10;2;4.1%;26.0%;.132;.362;.279;.329;.412;.324;105;0.4;0.8;-2.4;0.1
226;Kevin Pillar;ATL;15;49;1;5;5;1;6.1%;24.5%;.130;.303;.239;.286;.370;.286;75;0.3;-1.2;0.5;0.1
227;Conner Capel;OAK;24;70;0;4;3;4;12.9%;27.1%;.066;.405;.279;.371;.344;.324;111;-0.5;0.4;-1.9;0.1
228;Austin Wynns;2 Tms;6;14;0;0;2;0;7.1%;50.0%;.077;.333;.154;.214;.231;.202;24;-0.1;-1.4;1.8;0.1
229;Nick Fortes;MIA;18;52;1;4;3;1;9.6%;26.9%;.064;.250;.191;.269;.255;.241;46;0.2;-3.2;2.3;0.1
230;Salvador Perez;KCR;25;104;3;9;13;0;2.9%;17.3%;.165;.299;.268;.308;.433;.318;97;-0.9;-1.2;-1.5;0.1
231;Ji Hwan Bae;PIT;26;83;2;15;9;9;4.8%;25.3%;.091;.296;.234;.280;.325;.268;64;1.8;-1.9;-0.1;0.1
232;Connor Wong;BOS;21;63;1;9;8;1;7.9%;27.0%;.125;.342;.250;.323;.375;.309;89;-0.4;-1.3;-0.1;0.1
233;Manuel Margot;TBR;25;80;2;9;8;4;5.0%;13.8%;.125;.262;.250;.300;.375;.293;89;-0.7;-1.8;-0.2;0.1
234;Ha-Seong Kim;SDP;25;91;2;6;6;5;11.0%;26.4%;.101;.226;.177;.278;.278;.256;62;0.7;-3.6;1.3;0.1
235;Kyle Higashioka;NYY;12;43;2;4;6;0;4.7%;34.9%;.146;.250;.195;.233;.341;.249;56;-0.1;-2.4;1.6;0.1
236;Tim Anderson;CHW;9;39;0;7;4;4;0.0%;23.1%;.103;.333;.256;.256;.359;.263;63;0.8;-0.9;0.3;0.1
237;Chad Wallach;LAA;6;20;2;3;4;0;5.0%;15.0%;.316;.143;.211;.250;.526;.323;103;-0.1;0.0;0.0;0.1
238;Edouard Julien;MIN;8;30;2;4;4;0;3.3%;30.0%;.222;.250;.222;.276;.444;.309;96;-0.1;-0.2;-0.2;0.1
239;Luke Maile;CIN;11;22;1;2;1;0;9.1%;40.9%;.150;.400;.250;.318;.400;.315;91;-0.1;-0.3;0.2;0.1
240;Enrique Hernández;BOS;26;107;3;19;10;1;9.3%;23.4%;.158;.309;.253;.327;.411;.321;98;0.0;-0.3;-2.8;0.1
241;Dominic Fletcher;ARI;1;2;0;1;0;0;0.0%;0.0%;.500;.500;.500;.500;1.000;.622;302;0.0;0.5;0.0;0.1
242;Lane Thomas;WSN;25;102;0;13;10;2;7.8%;26.5%;.044;.369;.264;.333;.308;.291;80;-0.1;-2.7;-0.2;0.1
243;Gio Urshela;LAA;24;96;1;12;12;1;3.1%;18.8%;.054;.351;.290;.313;.344;.289;80;-0.3;-2.6;-0.1;0.1
244;César Salazar;HOU;7;8;0;1;0;0;12.5%;12.5%;.000;.333;.286;.375;.286;.308;95;0.0;-0.1;0.3;0.1
245;Taylor Trammell;SEA;1;5;1;1;4;0;20.0%;40.0%;.750;.000;.250;.400;1.000;.540;260;-0.4;0.6;-0.2;0.1
246;Tyler Stephenson;CIN;27;107;0;11;11;0;9.3%;28.0%;.064;.422;.287;.374;.351;.325;98;-0.4;-0.7;-2.4;0.1
247;Juan Yepez;STL;3;12;1;1;1;0;0.0%;0.0%;.250;.273;.333;.333;.583;.388;147;-0.1;0.6;-0.5;0.1
248;Javier Báez;DET;24;95;0;9;11;2;5.3%;20.0%;.057;.290;.230;.277;.287;.252;55;0.4;-4.7;2.0;0.0
249;Tyler Freeman;CLE;2;8;0;1;0;0;12.5%;0.0%;.143;.286;.286;.375;.429;.353;128;0.0;0.3;-0.1;0.0
250;Taylor Motter;STL;7;20;0;0;1;0;10.0%;40.0%;.111;.400;.222;.300;.333;.282;77;0.0;-0.5;0.3;0.0
251;Ryan Mountcastle;BAL;27;119;6;17;20;2;1.7%;21.8%;.200;.259;.243;.252;.443;.291;85;0.6;-1.5;-2.1;0.0
252;Donovan Solano;MIN;21;69;0;6;3;0;4.3%;20.3%;.079;.367;.286;.348;.365;.313;99;-0.4;-0.5;-1.4;0.0
253;Kody Clemens;PHI;11;31;3;4;5;0;6.5%;29.0%;.310;.118;.172;.226;.483;.296;83;0.1;-0.6;0.0;0.0
254;Willi Castro;MIN;19;40;1;5;4;1;10.0%;25.0%;.147;.217;.176;.300;.324;.284;79;-0.2;-1.1;0.2;0.0
255;Tim Locastro;NYM;10;10;0;3;0;4;0.0%;20.0%;.000;.000;.000;.300;.000;.218;36;0.8;0.0;0.0;0.0
256;David Villar;SFG;24;88;4;10;11;1;9.1%;31.8%;.197;.178;.158;.261;.355;.272;71;-0.3;-3.5;0.9;0.0
257;Taylor Ward;LAA;28;121;3;18;10;0;12.4%;20.7%;.108;.240;.206;.322;.314;.291;81;-0.5;-3.3;-0.5;0.0
258;Drew Maggi;PIT;3;6;0;1;1;0;0.0%;16.7%;.167;.400;.333;.333;.500;.354;121;0.0;0.2;0.0;0.0
259;Seiya Suzuki;CHC;15;66;1;7;6;0;9.1%;24.2%;.119;.333;.254;.333;.373;.313;96;-0.9;-1.2;-0.7;0.0
260;Raimel Tapia;BOS;16;30;1;4;4;0;10.0%;23.3%;.154;.278;.231;.310;.385;.306;87;0.2;-0.3;-0.4;0.0
261;Darin Ruf;SFG;9;27;0;1;3;0;14.8%;33.3%;.087;.429;.261;.370;.348;.326;107;-0.1;0.2;-0.8;0.0
262;Tommy Pham;NYM;17;49;2;3;7;2;12.2%;22.4%;.167;.233;.214;.306;.381;.292;86;0.4;-0.5;-0.9;0.0
263;Brenton Doyle;COL;6;19;0;2;2;3;10.5%;31.6%;.059;.273;.176;.263;.235;.232;25;0.6;-1.1;0.8;0.0
264;Enmanuel Valdez;BOS;6;20;0;2;1;0;0.0%;20.0%;.150;.375;.300;.300;.450;.319;96;0.0;-0.1;-0.3;0.0
265;Andrew Benintendi;CHW;23;95;0;13;5;4;7.4%;16.8%;.046;.352;.287;.347;.333;.302;90;0.8;-0.4;-2.5;0.0
266;Jose Herrera;ARI;10;32;0;4;4;1;12.5%;31.3%;.074;.412;.259;.355;.333;.312;94;-0.2;-0.4;-0.4;0.0
267;Ryan O'Hearn;BAL;8;20;0;1;6;0;10.0%;15.0%;.059;.333;.294;.350;.353;.308;97;-0.1;-0.2;-0.2;0.0
268;Akil Baddoo;DET;19;64;0;7;1;2;14.1%;26.6%;.056;.324;.222;.333;.278;.278;74;0.8;-1.3;-0.6;0.0
269;Eric Hosmer;CHC;23;73;2;7;13;0;6.8%;26.0%;.132;.340;.265;.315;.397;.311;94;-0.1;-0.6;-1.6;0.0
270;Michael Chavis;WSN;9;21;0;1;1;0;9.5%;23.8%;.000;.357;.263;.333;.263;.276;70;0.0;-0.8;0.3;0.0
271;Eric Haase;DET;20;66;0;3;5;1;9.1%;28.8%;.050;.390;.267;.333;.317;.287;80;-0.5;-2.0;0.0;0.0
272;Alec Bohm;PHI;28;115;2;10;18;1;7.0%;18.3%;.114;.305;.257;.322;.371;.307;90;-0.9;-2.3;-1.4;0.0
273;Eddie Rosario;ATL;23;78;3;10;5;0;5.1%;25.6%;.189;.275;.230;.269;.419;.294;81;-0.1;-2.0;-0.5;0.0
274;Danny Jansen;TOR;18;61;3;6;13;0;8.2%;24.6%;.196;.184;.179;.246;.375;.262;64;-0.2;-2.8;1.0;0.0
275;Yainer Diaz;HOU;9;29;0;5;2;0;6.9%;17.2%;.083;.286;.250;.310;.333;.281;76;-0.1;-1.0;0.1;0.0
276;Tyler Wade;OAK;10;16;0;1;0;4;18.8%;50.0%;.000;.200;.077;.250;.077;.186;14;0.8;-0.8;0.3;0.0
277;Miguel Vargas;LAD;25;92;1;10;9;1;13.0%;19.6%;.117;.254;.208;.319;.325;.291;82;0.2;-1.8;-1.3;0.0
278;Nick Pratto;KCR;5;20;0;0;2;0;5.0%;50.0%;.000;.778;.368;.400;.368;.344;115;-0.5;-0.2;-0.5;0.0
279;Josh Sborz;TEX;5;1;0;0;0;0;0.0%;100.0%;.000;.000;.000;.000;.000;.000;-100;0.0;-0.3;0.2;0.0
280;Brendan Donovan;STL;23;85;1;8;4;2;7.1%;18.8%;.078;.311;.260;.318;.338;.291;83;0.2;-1.6;-1.3;0.0
281;Tommy Hunter;NYM;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
282;Matt Bush;MIL;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
283;Adam Ottavino;NYM;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
284;Matt Moore;LAA;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
285;Zack Greinke;KCR;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
286;Clayton Kershaw;LAD;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
287;Corey Kluber;BOS;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
288;Lance Lynn;CHW;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
289;Kenley Jansen;BOS;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
290;Max Scherzer;NYM;3;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
291;Charlie Morton;ATL;5;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
292;Rich Hill;PIT;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
293;Jake Diekman;CHW;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
294;Jeurys Familia;OAK;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
295;Jesse Chavez;ATL;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
296;Madison Bumgarner;ARI;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
297;Ryan Brasier;BOS;13;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
298;Huascar Brazoban;MIA;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
299;Trevor May;OAK;7;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
300;José Cisnero;DET;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
301;Alex Cobb;SFG;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
302;Carlos Carrasco;NYM;3;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
303;Craig Kimbrel;PHI;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
304;Johnny Cueto;MIA;1;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
305;Martín Pérez;TEX;6;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
306;Luis García;SDP;12;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
307;Ian Kennedy;TEX;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
308;Ryan Pressly;HOU;11;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
309;Fernando Cruz;CIN;9;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
310;Daniel Bard;COL;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
311;Collin McHugh;ATL;4;0;0;0;0;0;0.0%;0.0%;.000;.000;.000;.000;.000;.000;;0.0;0.0;0.0;0.0
